nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
2	191	preterm_no_hit_endocleaved	10	11	8143	996983	0.008168
2	192	preterm_5_hit_endocleaved	9	7	5545	998912	0.005551
2	192	preterm_no_hit_endocleaved	10	11	9749	999211	0.009757
2	193	preterm_5_hit_endocleaved	5	5	2206	997163	0.002212
2	193	preterm_no_hit_endocleaved	6	7	5833	997291	0.005849
2	194	preterm_5_hit_endocleaved	1	1	587	991354	5.92e-4
2	194	preterm_no_hit_endocleaved	3	2	2790	998661	0.002794
2	195	preterm_5_hit_endocleaved	10	6	8555	999853	0.008556
2	195	preterm_no_hit_endocleaved	6	3	5738	999853	0.005739
2	196	preterm_5_hit_endocleaved	9	6	8725	999459	0.00873
2	196	preterm_no_hit_endocleaved	6	3	6132	999459	0.006135
2	197	preterm_5_hit_endocleaved	6	4	6142	998986	0.006148
2	197	preterm_no_hit_endocleaved	6	2	5902	998986	0.005908
2	198	preterm_5_hit_endocleaved	4	2	4031	997979	0.004039
2	198	preterm_no_hit_endocleaved	6	1	6190	997979	0.006203
2	199	preterm_5_hit_endocleaved	3	2	3197	999602	0.003198
2	199	preterm_no_hit_endocleaved	6	1	6208	999602	0.00621
1	2	preterm_no_hit_endocleaved	1	0	7	923193	8e-6
2	201	preterm_5_hit_endocleaved	1	1	628	999972	6.28e-4
2	201	preterm_no_hit_endocleaved	4	3	3517	999972	0.003517
2	202	preterm_5_hit_endocleaved	2	1	841	997233	8.43e-4
2	202	preterm_no_hit_endocleaved	5	3	4336	999429	0.004338
2	203	preterm_5_hit_endocleaved	2	1	1074	999512	0.001075
2	203	preterm_no_hit_endocleaved	5	3	4828	999512	0.00483
2	204	preterm_5_hit_endocleaved	1	1	664	997857	6.65e-4
2	204	preterm_no_hit_endocleaved	3	2	3116	999887	0.003116
2	205	preterm_5_hit_endocleaved	1	1	6	983060	6e-6
2	205	preterm_no_hit_endocleaved	6	3	50	983060	5.1e-5
2	206	preterm_5_hit_endocleaved	2	2	45	908277	5e-5
2	206	preterm_no_hit_endocleaved	5	2	191	908277	2.1e-4
2	207	preterm_5_hit_endocleaved	2	1	182	997124	1.83e-4
2	207	preterm_no_hit_endocleaved	5	3	876	997124	8.79e-4
2	208	preterm_5_hit_endocleaved	2	1	866	995001	8.7e-4
2	208	preterm_no_hit_endocleaved	6	3	3730	995001	0.003749
2	209	preterm_5_hit_endocleaved	2	1	1202	999625	0.001202
2	209	preterm_no_hit_endocleaved	6	3	5109	999625	0.005111
1	21	preterm_no_hit_endocleaved	1	NA	1	348696	3e-6
2	211	preterm_5_hit_endocleaved	15	9	5104	998832	0.00511
2	211	preterm_no_hit_endocleaved	14	12	6234	999129	0.006239
2	212	preterm_5_hit_endocleaved	15	9	8798	999999	0.008798
2	212	preterm_no_hit_endocleaved	13	11	9346	999999	0.009346
2	213	preterm_5_hit_endocleaved	10	9	6735	999999	0.006735
2	213	preterm_no_hit_endocleaved	8	9	7975	999999	0.007975
2	214	preterm_5_hit_endocleaved	2	3	1641	999890	0.001641
2	214	preterm_no_hit_endocleaved	3	2	3421	999890	0.003421
2	215	preterm_5_hit_endocleaved	12	7	12288	999997	0.012288
2	215	preterm_no_hit_endocleaved	7	4	7709	999997	0.007709
2	216	preterm_5_hit_endocleaved	12	7	12310	999997	0.01231
2	216	preterm_no_hit_endocleaved	7	4	7730	999997	0.00773
2	217	preterm_5_hit_endocleaved	10	6	9649	999984	0.009649
2	217	preterm_no_hit_endocleaved	7	3	6610	999984	0.00661
2	218	preterm_5_hit_endocleaved	8	4	7466	999996	0.007466
2	218	preterm_no_hit_endocleaved	7	2	6980	999996	0.00698
