sim_id	mean_p_per_m	sd_p_per_m	total_collision	total_time	collision_freq
57	3030	NA	3030	999878	0.00303
58	2664	NA	2664	999642	0.002665
59	2512	NA	2512	999722	0.002513
6	42	NA	42	999983	4.2e-5
60	3577	NA	3577	999658	0.003578
61	1885	NA	1885	999988	0.001885
62	944	NA	944	999853	9.44e-4
63	3396	NA	3396	999830	0.003397
64	3351	NA	3351	999860	0.003351
65	398	NA	398	999963	3.98e-4
66	147	NA	147	999977	1.47e-4
67	2715	NA	2715	999849	0.002715
68	2805	NA	2805	999735	0.002806
69	1864	NA	1864	999854	0.001864
7	1450	NA	1450	999969	0.00145
70	1956	NA	1956	999948	0.001956
71	1511	NA	1511	999854	0.001511
72	1459	NA	1459	999808	0.001459
73	862	NA	862	999778	8.62e-4
74	869	NA	869	999940	8.69e-4
75	2151	NA	2151	999830	0.002151
76	1119	NA	1119	999852	0.001119
77	714	NA	714	999899	7.14e-4
78	2075	NA	2075	999902	0.002075
79	2284	NA	2284	999722	0.002285
8	1380	NA	1380	999785	0.00138
80	382	NA	382	999887	3.82e-4
81	154	NA	154	999995	1.54e-4
82	1977	NA	1977	1000002	0.001977
83	1567	NA	1567	999784	0.001567
84	1396	NA	1396	999972	0.001396
85	1631	NA	1631	999978	0.001631
86	991	NA	991	999939	9.91e-4
87	1237	NA	1237	999998	0.001237
88	529	NA	529	999999	5.29e-4
89	501	NA	501	999940	5.01e-4
9	1101	NA	1101	999922	0.001101
90	220583	NA	220583	999997	0.220583
91	27917	NA	27917	999999	0.027917
92	8674	NA	8674	999960	0.008674
93	45960	NA	45960	999975	0.045961
94	39159	NA	39159	999904	0.039163
95	1405	NA	1405	999990	0.001405
96	646	NA	646	999989	6.46e-4
97	22507	NA	22507	999970	0.022508
98	18350	NA	18350	1000002	0.01835
99	13646	NA	13646	999941	0.013647
