	k_init	k_transcription	k_deadenylation	n_mrna_0	k_cleave_no_hit	k_cleave_5_hit	k_cleave_3_hit	k_cleave_both_hit	cleave_model	cleave_rate	n_stall	x_stall	k_elong_stall	k_preterm_no_hit_intact	k_preterm_5_hit_intact	k_preterm_3_hit_intact	k_preterm_both_hit_intact	preterm_intact_model	preterm_intact_rate
76	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.01	0.01	0.0	0.0	simple	0.01
77	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.02	0.02	0.0	0.0	simple	0.02
78	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	0.02	0.0	0.02	hit5	0.02
79	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	0.0	0.02	0.02	hit3	0.02
80	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.05	0.05	0.0	0.0	simple	0.05
81	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.1	0.1	0.0	0.0	simple	0.1
82	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	0.1	0.0	0.1	hit5	0.1
83	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	0.0	0.1	0.1	hit3	0.1
84	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	0.5	0.0	0.5	hit5	0.5
85	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	0.0	0.5	0.5	hit3	0.5
86	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	1.0	0.0	1.0	hit5	1.0
87	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	0.0	1.0	1.0	hit3	1.0
88	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	4.0	0.0	4.0	hit5	4.0
89	0.0078125	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	3.0,3.0,3.0,3.0,3.0,3.0	0.0	0.0	4.0	4.0	hit3	4.0
90	0.015625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.0	0.0	0.0	trafficjam	0.0
91	0.015625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.01	0.01	0.0	0.0	simple	0.01
92	0.015625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.02	0.02	0.0	0.0	simple	0.02
93	0.015625	0.0	0.0	1	0	0	0	0	simple	0	6	400,401,402,403,404,405	0.12,0.12,0.12,0.12,0.12,0.12	0.0	0.02	0.0	0.02	hit5	0.02
