	k_init	k_preterm_no_hit_intact	k_preterm_5_hit_intact	k_preterm_3_hit_intact	k_preterm_both_hit_intact	preterm_intact_model	preterm_intact_rate	n_stall	x_stall	k_elong_stall	l_cleave	k_cleave_no_hit	k_cleave_5_hit	k_cleave_3_hit	k_cleave_both_hit	cleave_model	cleave_rate
47	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.000707	0	0.000707	hit5	0.000707
48	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.001	0.001	0	0.0	simple	0.001
49	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.001	0	0.001	hit5	0.001
50	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.001414	0.001414	0	0.0	simple	0.001414
51	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.001414	0	0.001414	hit5	0.001414
52	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.002	0.002	0	0.0	simple	0.002
53	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.002	0	0.002	hit5	0.002
54	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.002828	0.002828	0	0.0	simple	0.002828
55	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.002828	0	0.002828	hit5	0.002828
56	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.004	0.004	0	0.0	simple	0.004
57	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.004	0	0.004	hit5	0.004
58	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.005657	0.005657	0	0.0	simple	0.005657
59	0.125	0	0	0	0	trafficjam	0	6	400,401,402,403,404,405	10,10,10,10,10,10	5	0.0	0.005657	0	0.005657	hit5	0.005657
